"id_taller","slug","tema","familia_metodo","estado","do_file","log_file","brief_file","qmd_file"
"t01","vi","Educacion endogena y salario con IV","lineal_vi_panel","qmd_migrado","00_private/do/t01_vi.do","00_private/log/t01_vi.log","00_private/briefs/t01_vi_brief.txt","01_portfolio/qmd/t01_vi.qmd"
"t02","panel_pooled_salarios","Panel pooled salarios","lineal_vi_panel","pendiente_qmd","00_private/do/t02_panel_pooled_salarios.do","00_private/log/t02_panel_pooled_salarios.log","00_private/briefs/t02_panel_pooled_salarios_brief.txt","01_portfolio/qmd/t02_panel_pooled_salarios.qmd"
"t03","panel_qtobin_pooled","Panel pooled Q Tobin","lineal_vi_panel","pendiente_qmd","00_private/do/t03_panel_qtobin_pooled.do","00_private/log/t03_panel_qtobin_pooled.log","00_private/briefs/t03_panel_qtobin_pooled_brief.txt","01_portfolio/qmd/t03_panel_qtobin_pooled.qmd"
"t04","panel_pooled_heterogeneidad","Panel pooled con heterogeneidad","lineal_vi_panel","pendiente_qmd","00_private/do/t04_panel_pooled_heterogeneidad.do","00_private/log/t04_panel_pooled_heterogeneidad.log","00_private/briefs/t04_panel_pooled_heterogeneidad_brief.txt","01_portfolio/qmd/t04_panel_pooled_heterogeneidad.qmd"
"t05","panel_re","Panel efectos aleatorios","lineal_vi_panel","pendiente_qmd","00_private/do/t05_panel_re.do","00_private/log/t05_panel_re.log","00_private/briefs/t05_panel_re_brief.txt","01_portfolio/qmd/t05_panel_re.qmd"
"t06","panel_fe_inicial","Panel efectos fijos inicial","lineal_vi_panel","pendiente_qmd","00_private/do/t06_panel_fe_inicial.do","00_private/log/t06_panel_fe_inicial.log","00_private/briefs/t06_panel_fe_inicial_brief.txt","01_portfolio/qmd/t06_panel_fe_inicial.qmd"
"t07","panel_fe_completo","Panel efectos fijos completo","lineal_vi_panel","pendiente_qmd","00_private/do/t07_panel_fe_completo.do","00_private/log/t07_panel_fe_completo.log","00_private/briefs/t07_panel_fe_completo_brief.txt","01_portfolio/qmd/t07_panel_fe_completo.qmd"
"t08","panel_fe_patentes","Panel FE patentes","lineal_vi_panel","pendiente_qmd","00_private/do/t08_panel_fe_patentes.do","00_private/log/t08_panel_fe_patentes.log","00_private/briefs/t08_panel_fe_patentes_brief.txt","01_portfolio/qmd/t08_panel_fe_patentes.qmd"
"t09","panel_re_fe_cre","Comparacion RE FE CRE","lineal_vi_panel","pendiente_qmd","00_private/do/t09_panel_re_fe_cre.do","00_private/log/t09_panel_re_fe_cre.log","00_private/briefs/t09_panel_re_fe_cre_brief.txt","01_portfolio/qmd/t09_panel_re_fe_cre.qmd"
"t10","panel_gmm_chamberlain","Panel GMM Chamberlain","lineal_vi_panel","pendiente_qmd","00_private/do/t10_panel_gmm_chamberlain.do","00_private/log/t10_panel_gmm_chamberlain.log","00_private/briefs/t10_panel_gmm_chamberlain_brief.txt","01_portfolio/qmd/t10_panel_gmm_chamberlain.qmd"
"t11","panel_iv","Panel con IV","lineal_vi_panel","pendiente_qmd","00_private/do/t11_panel_iv.do","00_private/log/t11_panel_iv.log","00_private/briefs/t11_panel_iv_brief.txt","01_portfolio/qmd/t11_panel_iv.qmd"
"t12","binaria_base","Modelo binario base","binaria","pendiente_qmd","00_private/do/t12_binaria_base.do","00_private/log/t12_binaria_base.log","00_private/briefs/t12_binaria_base_brief.txt","01_portfolio/qmd/t12_binaria_base.qmd"
"t13","binaria_vi_continua","Binaria con VI continua","binaria","pendiente_qmd","00_private/do/t13_binaria_vi_continua.do","00_private/log/t13_binaria_vi_continua.log","00_private/briefs/t13_binaria_vi_continua_brief.txt","01_portfolio/qmd/t13_binaria_vi_continua.qmd"
"t14","binaria_vi_discreta","Binaria con VI discreta","binaria","pendiente_qmd","00_private/do/t14_binaria_vi_discreta.do","00_private/log/t14_binaria_vi_discreta.log","00_private/briefs/t14_binaria_vi_discreta_brief.txt","01_portfolio/qmd/t14_binaria_vi_discreta.qmd"
"t15","binaria_panel","Binaria en panel","binaria","pendiente_qmd","00_private/do/t15_binaria_panel.do","00_private/log/t15_binaria_panel.log","00_private/briefs/t15_binaria_panel_brief.txt","01_portfolio/qmd/t15_binaria_panel.qmd"
"t16","multinomial_base","Multinomial base","multinomial","pendiente_qmd","00_private/do/t16_multinomial_base.do","00_private/log/t16_multinomial_base.log","00_private/briefs/t16_multinomial_base_brief.txt","01_portfolio/qmd/t16_multinomial_base.qmd"
"t17","multinomial_vi_continua","Multinomial con VI continua","multinomial","pendiente_qmd","00_private/do/t17_multinomial_vi_continua.do","00_private/log/t17_multinomial_vi_continua.log","00_private/briefs/t17_multinomial_vi_continua_brief.txt","01_portfolio/qmd/t17_multinomial_vi_continua.qmd"
"t18","multinomial_panel_cre","Multinomial panel CRE","multinomial","pendiente_qmd","00_private/do/t18_multinomial_panel_cre.do","00_private/log/t18_multinomial_panel_cre.log","00_private/briefs/t18_multinomial_panel_cre_brief.txt","01_portfolio/qmd/t18_multinomial_panel_cre.qmd"
"t19","ordenado_base","Ordenado base","ordenada","pendiente_qmd","00_private/do/t19_ordenado_base.do","00_private/log/t19_ordenado_base.log","00_private/briefs/t19_ordenado_base_brief.txt","01_portfolio/qmd/t19_ordenado_base.qmd"
"t20","ordenado_vi_continua","Ordenado con VI continua","ordenada","pendiente_qmd","00_private/do/t20_ordenado_vi_continua.do","00_private/log/t20_ordenado_vi_continua.log","00_private/briefs/t20_ordenado_vi_continua_brief.txt","01_portfolio/qmd/t20_ordenado_vi_continua.qmd"
